,Fecha,Superior,Regular,Diesel,Gas Licuado De Petróleo
0,2025-01-01 00:00:00,28.95,27.45,25.47,110.0
1,2025-01-02 00:00:00,28.95,27.45,25.47,110.0
2,2025-01-03 00:00:00,28.95,27.45,25.47,110.0
3,2025-01-04 00:00:00,28.95,27.45,25.47,110.0
4,2025-01-05 00:00:00,28.95,27.45,25.47,110.0
5,2025-01-06 00:00:00,29.56,28.05,26.18,110.0
6,2025-01-07 00:00:00,29.56,28.05,26.18,110.0
7,2025-01-08 00:00:00,29.56,28.05,26.18,110.0
8,2025-01-09 00:00:00,29.56,28.05,26.18,110.0
9,2025-01-10 00:00:00,29.56,28.05,26.18,110.0
10,2025-01-11 00:00:00,29.56,28.05,26.18,110.0
11,2025-01-12 00:00:00,29.56,28.05,26.18,110.0
12,2025-01-13 00:00:00,30.14,28.63,26.75,110.0
13,2025-01-14 00:00:00,30.14,28.63,26.75,110.0
14,2025-01-15 00:00:00,30.14,28.63,26.75,110.0
15,2025-01-16 00:00:00,30.14,28.63,26.75,110.0
16,2025-01-17 00:00:00,30.14,28.63,26.75,110.0
17,2025-01-18 00:00:00,30.14,28.63,26.75,110.0
18,2025-01-19 00:00:00,30.14,28.63,26.75,110.0
19,2025-01-20 00:00:00,30.63,29.12,27.74,110.0
20,2025-01-21 00:00:00,30.63,29.12,27.74,110.0
21,2025-01-22 00:00:00,30.63,29.12,27.74,110.0
22,2025-01-23 00:00:00,30.63,29.12,27.74,110.0
23,2025-01-24 00:00:00,30.63,29.12,27.74,110.0
24,2025-01-25 00:00:00,30.63,29.12,27.74,110.0
25,2025-01-26 00:00:00,30.63,29.12,27.74,110.0
26,2025-01-27 00:00:00,30.61,29.11,27.73,110.0
27,2025-01-28 00:00:00,30.61,29.11,27.73,110.0
28,2025-01-29 00:00:00,30.61,29.11,27.73,110.0
29,2025-01-30 00:00:00,30.61,29.11,27.73,110.0
30,2025-01-31 00:00:00,30.61,29.11,27.73,110.0
31,2025-02-01 00:00:00,30.61,29.11,27.73,110.0
32,2025-02-02 00:00:00,30.61,29.11,27.73,110.0
33,2025-02-03 00:00:00,30.67,28.18,27.79,113.5
34,2025-02-04 00:00:00,30.67,28.18,27.79,117.0
35,2025-02-05 00:00:00,30.67,28.18,27.79,117.0
36,2025-02-06 00:00:00,30.67,28.18,27.79,117.0
37,2025-02-07 00:00:00,30.67,28.18,27.79,117.0
38,2025-02-08 00:00:00,30.67,28.18,27.79,117.0
39,2025-02-09 00:00:00,30.67,28.18,27.79,117.0
40,2025-02-10 00:00:00,30.17,28.66,27.02,117.0
41,2025-02-11 00:00:00,30.17,28.66,27.02,117.0
42,2025-02-12 00:00:00,30.17,28.66,27.02,117.0
43,2025-02-13 00:00:00,30.17,28.66,27.02,117.0
44,2025-02-14 00:00:00,30.17,28.66,27.02,117.0
45,2025-02-15 00:00:00,30.17,28.66,27.02,117.0
46,2025-02-16 00:00:00,30.17,28.66,27.02,117.0
47,2025-02-17 00:00:00,30.69,29.18,27.58,118.5
48,2025-02-18 00:00:00,30.69,29.18,27.58,118.5
49,2025-02-19 00:00:00,30.69,29.18,27.58,120.0
50,2025-02-20 00:00:00,30.69,29.18,27.58,120.0
51,2025-02-21 00:00:00,30.69,29.18,27.58,120.0
52,2025-02-22 00:00:00,30.69,29.18,27.58,120.0
53,2025-02-23 00:00:00,30.69,29.18,27.58,120.0
54,2025-02-24 00:00:00,30.76,29.26,27.67,120.0
55,2025-02-25 00:00:00,30.76,29.26,27.67,120.0
56,2025-02-26 00:00:00,30.76,29.26,27.67,120.0
57,2025-02-27 00:00:00,30.76,29.26,27.67,120.0
58,2025-02-28 00:00:00,30.76,29.26,27.67,120.0
59,2025-03-01 00:00:00,30.76,29.26,27.67,120.0
60,2025-03-02 00:00:00,30.76,29.26,27.67,120.0
61,2025-03-03 00:00:00,30.76,29.26,27.67,120.0
62,2025-03-04 00:00:00,30.76,29.26,27.67,120.0
63,2025-03-05 00:00:00,30.76,29.26,27.67,120.0
64,2025-03-06 00:00:00,30.76,29.26,27.67,120.0
65,2025-03-07 00:00:00,30.76,29.26,27.67,120.0
66,2025-03-08 00:00:00,30.76,29.26,27.67,120.0
67,2025-03-09 00:00:00,30.76,29.26,27.67,120.0
68,2025-03-10 00:00:00,29.88,28.39,26.81,120.0
69,2025-03-11 00:00:00,29.88,28.39,26.81,120.0
70,2025-03-12 00:00:00,29.88,28.39,26.81,120.0
71,2025-03-13 00:00:00,29.88,28.39,26.81,120.0
72,2025-03-14 00:00:00,29.88,28.39,26.81,120.0
73,2025-03-15 00:00:00,29.88,28.39,26.81,120.0
74,2025-03-16 00:00:00,29.88,28.39,26.81,120.0
75,2025-03-17 00:00:00,29.68,28.17,26.08,120.0
76,2025-03-18 00:00:00,29.68,28.17,26.08,120.0
77,2025-03-19 00:00:00,29.68,28.17,26.08,120.0
78,2025-03-20 00:00:00,29.68,28.17,26.08,120.0
79,2025-03-21 00:00:00,29.68,28.17,26.08,120.0
80,2025-03-22 00:00:00,29.68,28.17,26.08,120.0
81,2025-03-23 00:00:00,29.68,28.17,26.08,120.0
82,2025-03-24 00:00:00,30.39,28.89,25.76,120.0
83,2025-03-25 00:00:00,30.39,28.89,25.76,120.0
84,2025-03-26 00:00:00,30.39,28.89,25.76,120.0
85,2025-03-27 00:00:00,30.39,28.89,25.76,120.0
86,2025-03-28 00:00:00,30.39,28.89,25.76,120.0
87,2025-03-29 00:00:00,30.39,28.89,25.76,120.0
88,2025-03-30 00:00:00,30.39,28.89,25.76,120.0
89,2025-03-31 00:00:00,30.53,29.05,25.79,120.0
90,2025-04-01 00:00:00,30.53,29.05,25.79,120.0
91,2025-04-02 00:00:00,30.53,29.05,25.79,120.0
92,2025-04-03 00:00:00,30.53,29.05,25.79,120.0
93,2025-04-04 00:00:00,30.53,29.05,25.79,120.0
94,2025-04-05 00:00:00,30.53,29.05,25.79,120.0
95,2025-04-06 00:00:00,30.53,29.05,25.79,120.0
96,2025-04-07 00:00:00,31.27,29.77,26.19,120.0
97,2025-04-08 00:00:00,31.27,29.77,26.19,120.0
98,2025-04-09 00:00:00,31.27,29.77,26.19,120.0
99,2025-04-10 00:00:00,31.27,29.77,26.19,120.0
100,2025-04-11 00:00:00,31.27,29.77,26.19,120.0
101,2025-04-12 00:00:00,31.27,29.77,26.19,120.0
102,2025-04-13 00:00:00,31.27,29.77,26.19,120.0
103,2025-04-14 00:00:00,30.49,28.98,25.68,120.0
104,2025-04-15 00:00:00,30.49,28.98,25.68,120.0
105,2025-04-16 00:00:00,30.49,28.98,25.68,120.0
106,2025-04-17 00:00:00,30.49,28.98,25.68,120.0
107,2025-04-18 00:00:00,30.49,28.98,25.68,120.0
108,2025-04-19 00:00:00,30.49,28.98,25.68,120.0
109,2025-04-20 00:00:00,30.49,28.98,25.68,120.0
110,2025-04-21 00:00:00,30.29,28.79,25.5,120.0
111,2025-04-22 00:00:00,30.29,28.79,25.5,120.0
112,2025-04-23 00:00:00,30.29,28.79,25.5,120.0
113,2025-04-24 00:00:00,30.29,28.79,25.5,120.0
114,2025-04-25 00:00:00,30.29,28.79,25.5,120.0
115,2025-04-26 00:00:00,30.29,28.79,25.5,120.0
116,2025-04-27 00:00:00,30.29,28.79,25.5,120.0
117,2025-04-28 00:00:00,29.97,28.47,25.18,120.0
118,2025-04-29 00:00:00,29.97,28.47,25.18,120.0
119,2025-04-30 00:00:00,29.97,28.47,25.18,120.0
120,2025-05-01 00:00:00,29.97,28.47,25.18,120.0
121,2025-05-02 00:00:00,29.97,28.47,25.18,120.0
122,2025-05-03 00:00:00,29.97,28.47,25.18,120.0
123,2025-05-04 00:00:00,29.97,28.47,25.18,120.0
124,2025-05-05 00:00:00,29.78,28.28,25.01,120.0
125,2025-05-06 00:00:00,29.78,28.28,25.01,120.0
126,2025-05-07 00:00:00,29.78,28.28,25.01,120.0
127,2025-05-08 00:00:00,29.78,28.28,25.01,120.0
128,2025-05-09 00:00:00,29.78,28.28,25.01,120.0
129,2025-05-10 00:00:00,29.78,28.28,25.01,120.0
130,2025-05-11 00:00:00,29.78,28.28,25.01,120.0
131,2025-05-12 00:00:00,29.59,28.09,24.8,120.0
132,2025-05-13 00:00:00,29.59,28.09,24.8,120.0
133,2025-05-14 00:00:00,29.59,28.09,24.8,120.0
134,2025-05-15 00:00:00,29.59,28.09,24.8,120.0
135,2025-05-16 00:00:00,29.59,28.09,24.8,120.0
136,2025-05-17 00:00:00,29.59,28.09,24.8,120.0
137,2025-05-18 00:00:00,29.59,28.09,24.8,120.0
138,2025-05-19 00:00:00,30.23,28.72,25.26,120.0
